State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,26124,5769,801,19554,25/04/2020 20:32:37,TT,1676,273,20,
Maharashtra,7628,957,301,6370,24/04/2020 20:52:39,MH,811,0,0,
Delhi,2514,857,53,1604,24/04/2020 21:32:38,DL,0,0,0,
Gujarat,3071,282,133,2656,25/04/2020 20:37:37,GJ,256,17,6,
Rajasthan,2061,493,33,1535,25/04/2020 14:47:37,RJ,27,0,1,
Tamil Nadu,1821,960,23,838,25/04/2020 18:32:37,TN,66,94,1,
Madhya Pradesh,1945,281,99,1565,25/04/2020 18:52:37,MP,99,71,7,
Uttar Pradesh,1793,261,27,1505,25/04/2020 20:32:38,UP,172,35,2,
Telangana,983,291,25,667,25/04/2020 00:32:37,TG,0,0,0,
Andhra Pradesh,1016,171,31,814,25/04/2020 12:47:37,AP,61,26,2,
Karnataka,500,158,18,324,25/04/2020 17:42:38,KA,26,6,0,
Kerala,458,338,4,116,25/04/2020 17:22:40,KL,7,7,0,Mahe native who expired in Kannur included in Kerala's tally
Jammu and Kashmir,494,112,6,376,25/04/2020 19:22:38,JK,40,3,1,
West Bengal,571,103,18,450,25/04/2020 09:32:37,WB,57,0,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Haryana,287,191,3,93,25/04/2020 19:42:38,HR,12,5,0,One death in Ambala included
Punjab,308,72,17,219,25/04/2020 19:32:38,PB,10,2,0,
Bihar,242,45,2,195,25/04/2020 20:02:38,BR,19,1,0,
Odisha,94,33,1,60,24/04/2020 16:47:38,OR,0,0,0,
Uttarakhand,48,26,0,22,25/04/2020 19:32:40,UT,0,1,0,
Jharkhand,63,8,3,52,25/04/2020 16:17:40,JH,4,0,0,
Himachal Pradesh,40,21,2,17,25/04/2020 20:37:38,HP,0,3,0,Death of Tibetan refugee included
Chhattisgarh,37,32,0,5,25/04/2020 09:37:38,CT,1,2,0,
Assam,36,19,1,16,20/04/2020 08:45:06,AS,0,0,0,Includes one case from Nagaland
Chandigarh,28,15,0,13,25/04/2020 17:42:39,CH,1,0,0,
Ladakh,20,16,0,4,25/04/2020 17:32:38,LA,2,0,0,
Andaman and Nicobar Islands,33,11,0,22,25/04/2020 20:02:39,AN,4,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,8,4,0,4,25/04/2020 17:42:40,PY,1,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
